"Ne"	"n_p"	"r_m"	"z1_opt"	"z2_opt"	"r_selection"	"ln_z1"	"ln_z2"	"var1"	"var_2"
"196"	1000	40	0.5	1	1	0	0.00235981580796658	-0.00156998840681837	0.00629599630771416	0.00618692305447295
"197"	1000	40	0.5	1	1	0.5	-0.00397917108181286	-0.00632392680018346	0.0061238672413253	0.00691025320724771
"198"	1000	40	0.5	1	1	0.9	0.0293099733684013	0.0305297891415184	0.0076541261598779	0.00927268283414664
"199"	1000	40	0.5	1	1	-0.5	-0.0121063914777926	0.0187815735144277	0.00315723705259071	0.00366533113681893
"200"	1000	40	0.5	1	1	-0.9	0.00824424207187024	-0.00463050311446316	0.00332938108068726	0.00213967209519131
"201"	1000	50	0.9	10	1	0	0.126596241001881	0.116387533917723	0.00396253970591318	0.00406632502697456
"202"	1000	50	0.9	10	1	0.5	0.070224679406347	0.0459428186016572	0.00400560650705669	0.00501745472565922
"203"	1000	50	0.9	10	1	0.9	0.10365736098225	-0.00596141138844774	0.00398082234155535	0.00372472147002747
"204"	1000	50	0.9	10	1	-0.5	0.207158297769767	0.200343273974097	0.00379874465809113	0.00400360209822661
"205"	1000	50	0.9	10	1	-0.9	0.717598242230714	0.719427461828947	0.0022036201354586	0.00171245456228697
"206"	1000	50	0.9	10	10	0	0.214197247655329	0.201317499798337	0.00432887137087274	0.00346965880641803
"207"	1000	50	0.9	10	10	0.5	0.161492992103711	0.152843544938595	0.00544500669015544	0.00555789755114212
"208"	1000	50	0.9	10	10	0.9	0.138585918463971	0.138106699205038	0.00574705519923165	0.0074435870826046
"209"	1000	50	0.9	10	10	-0.5	0.379718496843476	0.386281103617932	0.00325187299532258	0.00320413609910826
"210"	1000	50	0.9	10	10	-0.9	1.43190449108815	1.43406709524325	0.00191352539084063	0.00177257503750913
"211"	1000	50	0.9	10	0.1	0	0.0126888198402102	-0.006651983258773	0.00505444511959093	0.00524052410023454
"212"	1000	50	0.9	10	0.1	0.5	0.0233292090843479	-0.0192764488262388	0.00283163856461025	0.00384797273475328
"213"	1000	50	0.9	10	0.1	0.9	0.110035305005813	-0.109929611899236	0.00306213979492139	0.0043788336074331
"214"	1000	50	0.9	10	0.1	-0.5	-0.00716679021441464	-0.0123407776351858	0.00449004269909253	0.0038804156096825
"215"	1000	50	0.9	10	0.1	-0.9	-0.00283351647348838	-0.00441905765876144	0.00333111185100279	0.0022515809796141
"216"	1000	50	0.9	1	1	0	-0.00828107397978107	-0.00884510560766799	0.00350353523184543	0.004138661474327
"217"	1000	50	0.9	1	1	0.5	-0.0173728983186128	-0.023339762275136	0.00357511970832537	0.00389004774756261
"218"	1000	50	0.9	1	1	0.9	-0.0111569315558637	-0.0150705552357691	0.00380959685998566	0.00400386911983107
"219"	1000	50	0.9	1	1	-0.5	-0.0119038378582367	-0.00837346688852164	0.0028882440812731	0.0031322050035247
"220"	1000	50	0.9	1	1	-0.9	0.0186913567827671	0.0189111857298438	0.00176425880618407	0.00201871109090258
"221"	1000	50	0.5	10	1	0	0.109163935874336	0.0326442141801788	0.003775203466463	0.00602783773439084
"222"	1000	50	0.5	10	1	0.5	0.117235611096892	0.0158116490102144	0.00384637919261119	0.00362804303084472
"223"	1000	50	0.5	10	1	0.9	0.298964507529458	-0.194765986368135	0.00650304420866319	0.00422441220937543
"224"	1000	50	0.5	10	1	-0.5	0.156243947078475	0.110592596379564	0.00336769380680122	0.003806486614514
"225"	1000	50	0.5	10	1	-0.9	0.65253616016348	0.625721936366687	0.00273880709785023	0.00375693025369087
"226"	1000	50	0.5	10	10	0	0.178070240531417	0.170442712967859	0.00277991616993146	0.00297704789589202
"227"	1000	50	0.5	10	10	0.5	0.10378955854167	0.131963496035271	0.00247991915676196	0.00247920377559088
"228"	1000	50	0.5	10	10	0.9	0.125995686968039	0.133926855607128	0.00317148807590241	0.00564875421651913
"229"	1000	50	0.5	10	10	-0.5	0.330682276080228	0.311746860682239	0.00641319240558302	0.00353654550775933
"230"	1000	50	0.5	10	10	-0.9	1.24139652909593	1.22817098372158	0.00689586302702214	0.00316087677987085
"231"	1000	50	0.5	10	0.1	0	0.0579011220578655	-0.0554968667948028	0.00569106494397536	0.0034147635377809
"232"	1000	50	0.5	10	0.1	0.5	0.121762430739103	-0.10618230270712	0.00921487731947004	0.00499002079406715
"233"	1000	50	0.5	10	0.1	0.9	0.522676696103623	-0.516668960310782	0.00434994078791628	0.00295587464268242
"234"	1000	50	0.5	10	0.1	-0.5	0.0235047343690332	-0.0604092511313975	0.00333469991469306	0.00357060462807903
"235"	1000	50	0.5	10	0.1	-0.9	0.0472426623237894	-0.0352993121719767	0.00374312497075522	0.00347226993871319
"236"	1000	50	0.5	1	1	0	-0.000642872828108018	0.00479109818790879	0.00629952283433643	0.00417755150395321
"237"	1000	50	0.5	1	1	0.5	0.00337364242579784	0.002547305287978	0.0058029236302623	0.00568758225327889
"238"	1000	50	0.5	1	1	0.9	-0.000138724922997552	-0.0135653412469985	0.00413178151354476	0.00536707809704222
"239"	1000	50	0.5	1	1	-0.5	0.00221246732246296	0.00168454463100998	0.00208351451633251	0.0034964784346477
"240"	1000	50	0.5	1	1	-0.9	-0.00653872210334274	0.00562301066991175	0.00302000372816017	0.00369429939567228
